Exp,MLI
0,6.0
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,6.0
15,6.0
16,8.620000000000001
17,8.620000000000001
18,8.620000000000001
19,8.620000000000001
20,8.620000000000001
21,8.620000000000001
22,13.0
23,15.0
24,15.0
25,15.0
26,15.0
27,15.0
28,15.0
29,15.0
30,15.0
31,15.0
32,15.0
33,15.0
34,18.0
