Exp,MEI
0,6.0
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,8.620000000000001
14,8.620000000000001
15,8.620000000000001
16,8.620000000000001
17,8.620000000000001
18,13.0
19,13.0
20,13.0
21,13.0
22,13.0
23,18.0
