Experiment,IAF,Index,Value
1,UCB,22,0.34
2,UCB,5,6.0
3,UCB,42,8.620000000000000
4,UCB,87,1.8
5,UCB,59,3.2
6,UCB,8,4.44
7,UCB,81,1.83
8,UCB,47,6.7
9,UCB,61,3.0
10,UCB,20,4.55
11,UCB,10,8.8
12,UCB,44,14.3
13,UCB,49,5.7
14,UCB,95,15.0
15,UCB,63,13.0
16,UCB,80,5.950000000000000
17,UCB,33,0.066
18,UCB,36,9.0
19,UCB,0,10.0
20,UCB,29,5.0
21,UCB,37,4.1
22,UCB,62,18.0
